PROJECT INFO
File Path,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached.rvt
File Name,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached
Central File Path,"Error extracting central file path: File does not exist.
Parameter name: file"
Export by,m.cubero@karakusevic-carson.com
Export Date,2025-01-14
Export Time,18:53:01
DATA
Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
739005,Walls-Width-Is Greater Than Or-250,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
953158,Views-Hide Unreferenced,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
953168,Views-Hide Core Elevations,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
3848791,Floors-SURV,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
3868818,Views-Hide Sketch Views,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
6150231,GM-Text Notes,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
6221697,Section - Phase 1A,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
7493508,"Floors-Comments-Contains-""GF""",True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
7600578,GM-Lifts,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8136142,Section - Site (1),True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8533183,Elevation - 1_250,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8775801,GM-Wheelchair Transfer,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8775803,GM-Riser,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
9358888,"Walls-Type Name-Contains-""String""",True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
9679973,"Floors-Type Name-Contains-""Green Roof850""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
10066517,Views-Hide Stage 3 Drawings,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
11628340,"GM-IfcGUID does not equal ""blank""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
11845451,Property Lines-Demolition Plan,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
12141417,Elevation - 1_50,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
12252508,Elevation - Cycle Stores,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
12518917,Views - 43101,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
4002140,Areas-Not Phase 1A,True,True,AreaPlan,Level 2,False,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,True,True,AreaPlan,Level 3,False,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,True,True,AreaPlan,Level 4,False,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,True,True,AreaPlan,Level 6,False,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-Key Values-1_2500,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,False,View Template,Plan-Key Values-1_2500,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-1_Level 0,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 1
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-1_Level 0,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-2_Level 1,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 2
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-2_Level 1,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 2
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-3_Level 2,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 3
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-3_Level 2,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 3
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-4_Level 3,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 4
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-4_Level 3,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 4
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-5_Level 4,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 5
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-5_Level 4,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 5
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-6_Level 5,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 6
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-6_Level 5,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 6
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-7_Level 6,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 7
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-7_Level 6,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 7
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-8_Level 7,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 8
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-8_Level 7,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-PLANNING-9_Level 8,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 9
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-PLANNING-9_Level 8,False,Plan-Key Values-1_2500,XX-9100-PLANNING - Key Values Check Room - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,Level 10,False,Plan-8000-GEA,Not in a sheet
1788778,Site-Family Name-Bike,True,True,AreaPlan,Level 10,False,Plan-8000-GEA,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,Level 10,False,Plan-8000-GEA,Not in a sheet
8775803,GM-Riser,True,False,AreaPlan,Level 10,False,Plan-8000-GEA,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,View Template,Plan-8000-GEA,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,Plan-8000-GEA,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,Plan-8000-GEA,True,N/A,Not in a sheet
8775803,GM-Riser,True,False,View Template,Plan-8000-GEA,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,WIP MC,True,N/A,Not in a sheet
1788778,Site-Family Name-Bike,True,True,View Template,WIP MC,True,N/A,Not in a sheet
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,WIP MC,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-1_Level 0,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 1
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-1_Level 0,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 1
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-1_Level 0,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-2_Level 1,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 2
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-2_Level 1,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 2
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-2_Level 1,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 2
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-3_Level 2,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 3
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-3_Level 2,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 3
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,XX-9101-PLANNING-3_Level 2,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 3
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,AreaPlan,XX-9101-PLANNING-4_Level 3,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 4
1788778,Site-Family Name-Bike,True,True,AreaPlan,XX-9101-PLANNING-4_Level 3,False,NIA Check WIP,XX-9101-PLANNING - Key Values Check Areas ALL - 4
