PROJECT INFO,,,,,,,,
File Path,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached.rvt,,,,,,,
File Name,N15302-KCA-ZZ-ZZ-M3-A-00010_APARTMENTS_detached,,,,,,,
Central File Path,Error extracting central file path: File does not exist. Parameter name: file,,,,,,,
Export by,m.cubero@karakusevic-carson.com,,,,,,,
Export Date,14/01/2025,,,,,,,
Export Time,18:53:01,,,,,,,
DATA,,,,,,,,
Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
739005,Walls-Width-Is Greater Than Or-250,TRUE,TRUE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
953158,Views-Hide Unreferenced,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
953168,Views-Hide Core Elevations,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
3848791,Floors-SURV,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
3868818,Views-Hide Sketch Views,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
6150231,GM-Text Notes,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
6221697,Section - Phase 1A,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
7493508,"Floors-Comments-Contains-""GF""",TRUE,TRUE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
7600578,GM-Lifts,TRUE,TRUE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
8136142,Section - Site (1),TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
8533183,Elevation - 1_250,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
8775801,GM-Wheelchair Transfer,TRUE,TRUE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
8775803,GM-Riser,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
9358888,"Walls-Type Name-Contains-""String""",TRUE,TRUE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
9679973,"Floors-Type Name-Contains-""Green Roof850""",TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
10066517,Views-Hide Stage 3 Drawings,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
11628340,"GM-IfcGUID does not equal ""blank""",TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
11845451,Property Lines-Demolition Plan,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
12141417,Elevation - 1_50,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
12252508,Elevation - Cycle Stores,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
12518917,Views - 43101,TRUE,FALSE,View Template,Plan-GA-1_100 Planning,TRUE,N/A,Not in a sheet
4002140,Areas-Not Phase 1A,TRUE,TRUE,AreaPlan,Level 2,FALSE,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,TRUE,TRUE,AreaPlan,Level 3,FALSE,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,TRUE,TRUE,AreaPlan,Level 4,FALSE,Not View Template Assigned,Not in a sheet
4002140,Areas-Not Phase 1A,TRUE,TRUE,AreaPlan,Level 6,FALSE,Not View Template Assigned,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",TRUE,FALSE,View Template,Plan-Key Values-1_2500,TRUE,N/A,Not in a sheet
1788778,Site-Family Name-Bike,TRUE,FALSE,View Template,Plan-Key Values-1_2500,TRUE,N/A,Not in a sheet
