Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
739005,Walls-Width-Is Greater Than Or-250,False,True,View Template,Plan-Unit-1_50,True,N/A,Not in a sheet
953157,Views-Hide Building Elevations,True,False,View Template,Plan-Unit-1_50,True,N/A,Not in a sheet
953170,Views-Hide Building Sections,True,False,View Template,Plan-Unit-1_50,True,N/A,Not in a sheet
12446860,Walls-Unit Internal,True,True,View Template,Plan-Unit-1_50,True,N/A,Not in a sheet
12446861,"Walls-Comment-Contains-""Entrance""",True,True,View Template,Plan-Unit-1_50,True,N/A,Not in a sheet
739005,Walls-Width-Is Greater Than Or-250,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
953158,Views-Hide Unreferenced,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
953168,Views-Hide Core Elevations,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
3848791,Floors-SURV,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
3868818,Views-Hide Sketch Views,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
6150231,GM-Text Notes,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
6221697,Section - Phase 1A,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
7493508,"Floors-Comments-Contains-""GF""",True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
7600578,GM-Lifts,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8136142,Section - Site (1),True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8533183,Elevation - 1_250,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8775801,GM-Wheelchair Transfer,True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
8775803,GM-Riser,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
9358888,"Walls-Type Name-Contains-""String""",True,True,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
9679973,"Floors-Type Name-Contains-""Green Roof850""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
10066517,Views-Hide Stage 3 Drawings,True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
11628340,"GM-IfcGUID does not equal ""blank""",True,False,View Template,Plan-GA-1_100 Planning,True,N/A,Not in a sheet
