PROJECT INFO,,,,,,,,
File Path,C:\Users\34644\BIMMING\Video Support\Snowdon Towers Sample Architectural.rvt,,,,,,,
File Name,Snowdon Towers Sample Architectural,,,,,,,
Central File Path,This document is not workshared.,,,,,,,
Export by,maximo_cubero,,,,,,,
Export Date,02/02/2025,,,,,,,
Export Time,23:08:00,,,,,,,
DATA,,,,,,,,
Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
796461,WV_Sections,TRUE,FALSE,View Template,Architectural Plan,TRUE,N/A,Not in a sheet
845084,Elements to Hide - Grids,TRUE,FALSE,View Template,Architectural Plan,TRUE,N/A,Not in a sheet
1476502,Walls - to Hide,TRUE,FALSE,View Template,Architectural Plan,TRUE,N/A,Not in a sheet
2069925,Walls - Living Wall,TRUE,FALSE,View Template,Architectural Plan,TRUE,N/A,Not in a sheet
2285508,Context Buildings - Across the Street,TRUE,FALSE,View Template,Architectural Plan,TRUE,N/A,Not in a sheet
2333020,Site - Roof Sculptures,TRUE,FALSE,View Template,Site Plan,TRUE,N/A,Not in a sheet
149962,Interior,TRUE,FALSE,View Template,Export to Civil Engineering,TRUE,N/A,Not in a sheet
613325,Elements to Hide - Levels,TRUE,FALSE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
755980,Walls - L2 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756356,Walls - L3 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756357,Walls - L4 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756358,Walls - L5 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756359,Walls - R2 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756365,Walls - L1 - Top - Block 43,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756366,Walls - L1 - Top - Block 37,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756367,Walls - L1 - Top - Block 35,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756368,Walls - Parapet 1 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756369,Walls - R3 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
756370,Walls - Parapet 2 - Top,FALSE,TRUE,Section,WV_Section at Facades (Shaded),FALSE,Not View Template Assigned,Not in a sheet
613325,Elements to Hide - Levels,TRUE,FALSE,Section,WV_Section - Block 39,FALSE,Not View Template Assigned,Not in a sheet
613365,Levels - Primary,TRUE,TRUE,Section,WV_Section - Block 39,FALSE,Not View Template Assigned,Not in a sheet
845084,Elements to Hide - Grids,TRUE,FALSE,Section,WV_Section - Block 39,FALSE,Not View Template Assigned,Not in a sheet
1462329,Elements to Hide - Elements w Annotation,TRUE,FALSE,Section,WV_Section - Block 39,FALSE,Not View Template Assigned,Not in a sheet
796461,WV_Sections,TRUE,FALSE,FloorPlan,L5_SD,FALSE,Architectural Schematic Plan,SD105 - Fifth Floor Plan - 1
845084,Elements to Hide - Grids,TRUE,FALSE,FloorPlan,L5_SD,FALSE,Architectural Schematic Plan,SD105 - Fifth Floor Plan - 1
2069925,Walls - Living Wall,TRUE,FALSE,FloorPlan,L5_SD,FALSE,Architectural Schematic Plan,SD105 - Fifth Floor Plan - 1
2285508,Context Buildings - Across the Street,TRUE,FALSE,FloorPlan,L5_SD,FALSE,Architectural Schematic Plan,SD105 - Fifth Floor Plan - 1
796461,WV_Sections,TRUE,FALSE,FloorPlan,L3_SD,FALSE,Architectural Schematic Plan,SD103 - Third Floor Plan - 1
845084,Elements to Hide - Grids,TRUE,FALSE,FloorPlan,L3_SD,FALSE,Architectural Schematic Plan,SD103 - Third Floor Plan - 1
